x1,x2,x3,y,role
-0.24433260264883638,-0.4465722167612918,0.6095056365011837,0.1547501152344532,fit
-0.798421061252099,0.12832616997415225,-0.1333384392834338,0.048405671359748347,fit
-0.28827887794257956,0.667154401310986,0.6840745286535455,0.38593372392381725,fit
0.31200473573298426,-0.5739655242019663,-0.6346056697853217,0.2700364306836312,fit
0.02274809513605991,0.26457628840754244,0.8007937142396608,0.07546557186627584,fit
-0.11930950475020552,0.6961204996988339,-0.29402542875251947,0.49510775858748324,fit
-0.25416941153251793,0.4128065731823256,-0.03581905609182123,0.17314049938508727,fit
0.22341274741268147,-0.5079624537825114,-0.790018000886022,0.20507582682772388,fit
0.6949211889622726,-0.7812056694771061,-0.812031241495837,0.4409929832787344,fit
0.11053281909856971,0.18768901126547277,0.4005198121583293,0.048508340132617685,fit
0.2675730204069402,0.23915022808028152,-0.8261883593143198,-0.009126882827185406,fit
0.10185633322264986,0.10719956200414749,0.5156946335314185,0.027249775424113602,fit
0.5446389161446963,0.7145310272659129,-0.8175342129366989,0.3769763046321654,fit
0.9391971475980345,0.4003452094365594,0.4606269970601826,0.29006215524247414,fit
0.7343263292484175,-0.5495190403994799,-0.09132790744821406,0.28185182965124933,fit
-0.8030456914259136,0.8236714374311536,0.29531843579224715,0.6072883776014214,fit
0.6680712745685617,-0.2973228407391748,-0.5502109268020519,-0.021873162919846215,fit
-0.4270446240410508,0.8717362940987108,-0.5155917240075756,0.8259783686302017,fit
0.7382281068081054,-0.0628007058328739,0.6077298144896097,0.13853689777355888,fit
0.2882954089688081,-0.012835120267850497,0.58144735262877,0.050453321008272795,fit
-0.12405777980220245,0.7053331046147795,0.09258228937880641,0.49404912248472155,fit
-0.11400883569911158,0.9080234780421486,-0.6922677281168339,0.8481840279781611,fit
0.8159918921100671,-0.3372213175125438,0.505082026830239,0.2373610686080942,fit
0.8303112027445412,-0.4428292345378695,-0.7092976551945185,0.01941639420486241,fit
